"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C39","2","47uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C2,C5,C6,C7,C8,C9,C10,C11,C12,C22,C23,C24,C25,C29,C32,C37","16","100n","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C3,C4,C21","3","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C15","1","10nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C16","1","3.3nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C17,C18","2","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C20","1","100pF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"D1","1","Diode_Bridge","","","","Diode_THT:Diode_Bridge_Round_D8.9mm",""
"D2","1","12V","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D3,D4,D5,D15","4","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"D6","1","PWR LED","","","","LED_THT:LED_D3.0mm",""
"J1","1","Barrel_Jack_Switch","","","","Connector_BarrelJack:BarrelJack_Horizontal",""
"J2","1","JTAG","","","","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"J3","1","9V","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J4","1","AUDIO","","","","_MOD:SJ13525NGPI",""
"J5","1","ROM_SW","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J6","1","M-DIN KMDGX-9S-BS-1","","","","_MOD:KMDGX9SBS1","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf"
"J7","1","SPK_ON_OFF","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J8","1","KB_CON_08","","","","_MOD:CONN_5-520315-8_TYC","5-520315-8"
"J9","1","UV/EEPROM","","","","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical",""
"J11","1","EAR/MIC","","","","_MOD:SJ13525NGPI",""
"J12","1","KB_CONN_05","","","","_MOD:CONN_5-520315-5_TYC","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=520315&DocType=Customer+Drawing&DocLang=English"
"J14","1","RESET","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J15","1","ZX_48K_EDGE","","","","_MOD:ZX_BUS_A_TOP",""
"J16","1","DB9_Pins","","","","Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.90mm_Housed_MountingHolesOffset11.32mm",""
"J17","1","ON/OFF","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J18","1","JS_ENABLE","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
